,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36,542,C,6,H,6,O,4,,,,,,,,,
37,543,C,7,H,6,O,6,,,,,,,,,
38,546,C,2,H,5,O,5,P,,,,,,,,
39,547,C,8,H,8,O,4,,,,,,,,,
40,548,C,8,H,8,O,6,,,,,,,,,
41,550,C,8,H,8,O,7,,,,,,,,,
42,551,C,7,H,8,O,5,,,,,,,,,
43,553,C,7,H,10,O,6,,,,,,,,,
44,554,C,7,H,13,NO,2,,,,,,,,,
45,555,C,7,H,14,NO,2,+,,,,,,,,
46,556,C,9,H,13,NO,6,,,,,,,,,
47,557,C,6,H,11,NO,2,,,,,,,,,
48,558,C,6,H,11,N,3,O,3,,,,,,,
49,559,C,5,H,11,N,3,O,,,,,,,,
50,560,C,6,H,10,O,6,,,,,,,,,
51,561,C,6,H,11,O,6,PS,,,,,,,,
52,562,C,6,H,10,O,3,S,,,,,,,,
53,563,C,4,H,8,O,2,S,,,,,,,,
54,564,C,6,H,13,NO,2,,,,,,,,,
55,566,C,8,H,9,HgO,2,,,,,,,,,
56,567,C,6,H,5,Hg,,,,,,,,,,
57,568,C,12,H,8,O,,,,,,,,,,
58,569,C,12,H,10,O,3,,,,,,,,,
59,570,C,12,H,10,O,4,,,,,,,,,
60,571,C,12,H,21,NO,4,S,2,,,,,,,
61,572,C,4,H,10,NO,5,P,,,,,,,,
62,573,C,40,H,56,,,,,,,,,,,
63,577,C,12,H,24,NO,10,+,,,,,,,,
64,578,C,12,H,23,NO,10,,,,,,,,,
65,579,C,14,H,25,NO,11,,,,,,,,,
66,580,C,17,H,30,N,2,O,12,S,,,,,,
67,581,C,5,H,9,NO,3,S,,,,,,,,
68,582,C,34,H,58,N,4,O,24,S,2,,,,,
69,583,C,11,H,15,N,2,O+,,,,,,,,
70,584,C,10,H,8,O,4,,,,,,,,,
71,585,C,10,H,8,O,4,,,,,,,,,
72,586,C,4,H,9,N,3,O,2,,,,,,,
73,587,C,4,H,10,N,3,O,5,P,,,,,,
74,588,C,4,H,7,N,3,O,,,,,,,,
75,589,C,7,H,13,NO,2,,,,,,,,,
76,590,C,7,H,14,NO,2,+,,,,,,,,
77,591,C,28,H,48,N,8,O,17,P,3,S+,,,,
78,592,C,25,H,40,N,7,O,17,P,3,S,,,,
79,593,C,9,H,16,N,3,O,14,P,3,,,,,
80,594,C,3,H,7,NO,2,S,,,,,,,,
81,595,C,6,H,12,N,2,O,4,S,2,,,,,
82,596,C,9,H,13,N,3,O,5,,,,,,,
83,597,C,4,H,5,N,3,O,,,,,,,,
84,598,C,2,H,6,O,3,S,2,,,,,,,
85,599,C,5,H,6,O,6,,,,,,,,,
86,600,C,6,H,11,O,9,P,,,,,,,,
87,601,C,6,H,12,N,2,O,3,,,,,,,
88,602,C,3,H,7,NO,2,,,,,,,,,
89,603,C,6,H,13,O,9,P,,,,,,,,
90,604,C,6,H,12,O,7,,,,,,,,,
91,605,C,28,H,50,N,8,O,18,P,3,S+,,,,
92,606,C,6,H,11,N,2,O,6,P,,,,,,
93,607,C,6,H,10,O,8,,,,,,,,,
94,608,C,6,H,10,O,6,,,,,,,,,
95,609,C,6,H,14,NO,8,P,,,,,,,,
96,610,C,6,H,10,O,7,,,,,,,,,
97,611,C,5,H,9,NO,4,,,,,,,,,
98,613,C,25,H,40,N,7,O,19,P,3,S,,,,
99,614,C,5,H,9,NO,2,,,,,,,,,
100,615,C,5,H,11,O,8,P,,,,,,,,
101,616,C,7,H,15,O,10,P,,,,,,,,
102,617,C,3,H,7,NO,3,,,,,,,,,
103,618,C,6,H,15,O,9,P,,,,,,,,
104,619,C,5,H,10,O,5,,,,,,,,,
105,620,C,10,H,15,N,5,O,9,P,2,,,,,
106,621,C,10,H,14,N,5,O,6,P,,,,,,
107,622,C,10,H,16,N,5,O,12,P,3,,,,,
108,623,C,9,H,15,N,3,O,10,P,2,,,,,
109,624,C,9,H,14,N,3,O,7,P,,,,,,
110,625,C,9,H,16,N,3,O,13,P,3,,,,,
111,626,C,6,H,12,O,6,,,,,,,,,
112,627,C,6,H,10,O,6,,,,,,,,,
113,628,C,21,H,27,N,6,O,15,P,2,+,,,,
114,629,C,17,H,25,N,7,O,6,,,,,,,
115,630,C,7,H,10,O,6,,,,,,,,,
116,631,C,18,H,37,NO,2,,,,,,,,,
117,632,C,7,H,9,NO,4,,,,,,,,,
118,633,C,50,H,70,O,2,,,,,,,,,
119,634,C,5,H,11,O,7,P,,,,,,,,
120,635,C,5,H,11,O,7,P,,,,,,,,
121,636,C,10,H,13,N,5,O,3,,,,,,,
122,637,C,9,H,13,N,3,O,4,,,,,,,
123,640,C,9,H,12,N,2,O,5,,,,,,,
124,641,C,5,H,11,O,7,P,,,,,,,,
125,642,C,21,H,35,N,7,O,13,P,2,S,,,,
126,643,C,10,H,18,N,2,O,3,,,,,,,
127,647,C,5,H,12,O,7,P,2,,,,,,,
128,648,C,5,H,6,N,2,O,4,,,,,,,
129,649,C,4,H,6,N,2,O,2,,,,,,,
130,650,CH,3,COCOCH,3,,,,,,,,,,,
131,652,C,9,H,20,N,2,O,2,,,,,,,
132,654,C,4,H,11,O,4,P,,,,,,,,
133,655,C,4,H,11,O,3,PS,,,,,,,,
134,656,C,34,H,64,O,13,,,,,,,,,
135,657,C,36,H,66,O,14,,,,,,,,,
136,658,C,38,H,68,O,15,,,,,,,,,
137,660,C,9,H,8,O,2,,,,,,,,,
138,662,C,15,H,12,O,6,,,,,,,,,
139,663,C,8,H,17,NOS,2,,,,,,,,,
140,667,C,42,H,50,N,4,O,16,,,,,,,
141,668,C,3,H,7,O,6,P,,,,,,,,
142,669,C,4,H,9,O,6,P,,,,,,,,
143,670,C,3,H,6,O,3,,,,,,,,,
144,671,C,11,H,8,O,4,,,,,,,,,
145,672,C,13,H,18,N,4,O,6,,,,,,,
146,673,C,4,H,9,NO,2,,,,,,,,,
147,675,C,9,H,10,N,2,,,,,,,,,
148,677,C,5,H,10,O,4,,,,,,,,,
149,680,C,12,H,25,O,4,P,,,,,,,,
150,681,C,8,H,11,NO,2,,,,,,,,,
151,682,C,9,H,9,NO,4,,,,,,,,,
152,683,C,3,H,8,O,10,P,2,,,,,,,
153,684,C,16,H,26,N,2,O,16,P,2,,,,,
154,685,C,16,H,24,N,2,O,15,P,2,,,,,
155,686,C,16,H,26,N,2,O,15,P,2,,,,,
156,687,C,9,H,14,N,2,O,11,P,2,,,,,
157,688,C,9,H,13,N,2,O,8,P,,,,,,
158,689,C,9,H,15,N,2,O,14,P,3,,,,,
159,690,C,6,H,10,N,2,O,2,,,,,,,
160,691,C,9,H,8,O,3,,,,,,,,,
161,692,C,30,H,27,N,3,O,15,,,,,,,
162,693,C,30,H,50,O,,,,,,,,,,
163,694,C,6,H,6,N,2,O,,,,,,,,
164,695,C,4,H,8,O,8,P-,,,,,,,,
165,696,C,4,H,9,O,8,P,,,,,,,,
166,697,C,4,H,9,O,7,P,,,,,,,,
167,698,C,18,H,22,O,2,,,,,,,,,
168,699,C,18,H,22,O,5,S,,,,,,,,
169,700,C,2,H,7,NO,,,,,,,,,,
170,701,C,7,H,12,O,3,,,,,,,,,
171,702,CH,3,CH,2,OH,,,,,,,,,,
172,703,C,27,H,33,N,9,O,15,P,2,,,,,
173,704,C,15,H,26,N,6,O,13,P,2,,,,,
174,705,C,27,H,35,N,9,O,15,P,2,,,,,
175,706,C,15,H,28,O,7,P,2,,,,,,,
176,707,C,40,H,66,O,,,,,,,,,,
177,708,C,40,H,68,O,7,P,2,,,,,,,
178,709,C,10,H,10,O,4,,,,,,,,,
179,710,C,17,H,21,N,4,O,9,P,,,,,,
180,711,C,17,H,23,N,4,O,9,P,,,,,,
181,714,C,22,H,36,N,7,O,17,P,3,S,,,,
182,715,C,35,H,44,N,4,O,16,,,,,,,
183,716,C,6,H,12,O,6,,,,,,,,,
184,717,C,6,H,13,O,9,P,,,,,,,,
185,718,C,6,H,14,O,12,P,2,,,,,,,
186,719,C,6,H,13,O,9,P,,,,,,,,
187,720,C,12,H,22,N,2,O,7,,,,,,,
188,721,C,12,H,23,N,2,O,10,P,,,,,,
189,722,C,6,H,10,O,7,,,,,,,,,
190,723,C,4,H,4,O,4,,,,,,,,,
191,724,C,3,H,7,O,7,P,,,,,,,,
192,725,C,7,H,15,NO,2,,,,,,,,,
193,726,C,28,H,50,N,8,O,17,P,3,S+,,,,
194,727,C,6,H,6,Cl,6,,,,,,,,,
195,728,C,6,H,5,Cl,5,,,,,,,,,
196,729,C,3,H,7,O,6,P,,,,,,,,
197,734,C,10,H,20,O,7,P,2,,,,,,,
198,735,C,20,H,36,O,7,P,2,,,,,,,
199,736,C,6,H,10,O,6,,,,,,,,,
200,737,C,6,H,14,O,12,P,2,,,,,,,
201,738,C,5,H,10,N,2,O,3,,,,,,,
202,739,C,6,H,13,NO,5,,,,,,,,,
203,740,C,6,H,14,NO,8,P,,,,,,,,
204,741,C,26,H,40,N,7,O,19,P,3,S,,,,
205,742,C,5,H,9,NO,3,,,,,,,,,
206,743,C,5,H,8,O,4,,,,,,,,,
207,744,C,26,H,42,N,7,O,19,P,3,S,,,,
208,745,C,10,H,17,N,3,O,6,S,,,,,,
209,746,C,10,H,17,N,3,O,6,S,2,,,,,
210,747,C,10,H,16,N,3,O,9,S,2,-,,,,
211,748,C,10,H,17,N,3,O,9,S,2,,,,,
212,749,C,17,H,34,N,6,O,5,S,,,,,,
213,750,C,2,H,5,NO,2,,,,,,,,,
214,751,C,3,H,6,O,3,,,,,,,,,
215,752,C,3,H,6,O,4,,,,,,,,,
216,753,C,3,H,8,O,3,,,,,,,,,
217,754,C,3,H,9,O,6,P,,,,,,,,
218,755,C,26,H,43,NO,6,,,,,,,,,
219,756,C,2,H,4,O,2,,,,,,,,,
220,758,C,42,H,71,N,6,O,31,P,,,,,,
221,759,C,34,H,58,N,5,O,26,P,,,,,,
222,760,C,2,H,2,O,3,,,,,,,,,
223,763,C,3,H,7,N,3,O,2,,,,,,,
224,767,CH,2,O,3,,,,,,,,,,,
225,769,CHO,3,-,,,,,,,,,,,,
226,771,C,49,H,72,N,4,O,5,,,,,,,
227,772,C,26,H,42,N,2,O,37,S,5,,,,,
228,773,C,6,H,9,N,3,O,2,,,,,,,
229,774,C,5,H,9,N,3,,,,,,,,,
230,775,C,6,H,9,N,3,O,,,,,,,,
231,776,C,6,H,11,N,3,O,,,,,,,,
232,777,C,6,H,9,N,3,O,,,,,,,,
233,778,C,4,H,9,NO,2,S,,,,,,,,
234,779,C,4,H,9,NO,3,,,,,,,,,
235,780,C,8,H,8,O,4,,,,,,,,,
236,782,C,6,H,8,N,2,O,4,,,,,,,
237,785,C,6,H,4,(OH),2,,,,,,,,,
238,786,C,5,H,12,O,8,P,2,,,,,,,
239,788,C,40,H,46,N,4,O,17,,,,,,,
240,791,C,6,H,13,NO,2,,,,,,,,,
241,792,C,6,H,9,N,2,O,5,P,,,,,,
242,793,C,6,H,8,N,2,O,3,,,,,,,
243,794,C,6,H,6,N,2,O,3,,,,,,,
244,795,C,3,H,4,N,2,,,,,,,,,
245,796,C,4,H,5,NO,4,,,,,,,,,
246,798,C,8,H,7,N,,,,,,,,,,
247,799,C,11,H,14,NO,6,P,,,,,,,,
248,800,C,10,H,9,NO,,,,,,,,,,
249,801,C,10,H,8,NO,2,-,,,,,,,,
250,802,C,10,H,9,NO,2,,,,,,,,,
251,803,C,11,H,9,NO,3,,,,,,,,,
252,805,C,6,H,14,O,12,P,2,,,,,,,
253,806,C,6,H,15,O,15,P,3,,,,,,,
254,808,C,25,H,42,N,7,O,17,P,3,S,,,,
255,809,C,10,H,10,O,6,,,,,,,,,
256,810,C,26,H,44,N,7,O,17,P,3,S,,,,
257,811,C,5,H,6,O,4,,,,,,,,,
258,815,C,18,H,36,N,4,O,11,,,,,,,
259,816,C,18,H,37,N,5,O,10,,,,,,,
260,817,C,8,H,14,O,8,,,,,,,,,
261,818,C,8,H,15,O,11,P,,,,,,,,
262,819,C,76,H,142,N,2,O,30,P,2,,,,,
263,820,C,96,H,176,N,2,O,38,P,2,,,,,
264,821,C,110,H,203,N,2,O,42,P,3,,,,,
265,822,C,84,H,154,N,2,O,37,P,2,,,,,
266,823,C,8,H,21,NO,6,P+,,,,,,,,
267,824,C,5,H,11,NO,2,,,,,,,,,
268,825,C,5,H,9,NO,3,,,,,,,,,
269,826,C,15,H,26,N,4,O,8,,,,,,,
270,827,C,5,H,12,O,5,,,,,,,,,
271,828,C,10,H,18,N,4,O,6,,,,,,,
272,829,C,4,H,7,NO,3,,,,,,,,,
273,830,C,5,H,7,N,3,O,4,,,,,,,
274,831,C,5,H,8,N,3,O,4,+,,,,,,
275,832,C,4,H,8,NO,7,P,,,,,,,,
276,833,C,6,H,13,N,3,O,3,,,,,,,
277,834,C,7,H,14,N,2,O,4,S,,,,,,
278,835,C,6,H,6,O,6,,,,,,,,,
279,836,C,9,H,11,NO,4,,,,,,,,,
280,837,C,9,H,7,NO,4,,,,,,,,,
281,838,C,9,H,13,NO,3,,,,,,,,,
282,839,C,5,H,9,NO,5,,,,,,,,,
283,840,C,6,H,12,O,5,,,,,,,,,
284,841,C,6,H,12,O,5,,,,,,,,,
285,842,C,8,H,14,N,2,O,5,S,,,,,,
286,843,C,5,H,10,NO,7,P,,,,,,,,
287,844,C,5,H,9,NO,3,,,,,,,,,
288,845,C,6,H,12,N,3,O,4,P,,,,,,
289,846,C,10,H,12,N,2,O,3,,,,,,,
290,847,C,5,H,11,NO,3,S,,,,,,,,
291,848,C,6,H,12,O,4,,,,,,,,,
292,849,C,6,H,11,NO,2,,,,,,,,,
293,850,C,5,H,11,O,8,P,,,,,,,,
294,851,C,3,H,7,NO,2,Se,,,,,,,,
295,852,C,5,H,9,NO,4,,,,,,,,,
296,853,C,15,H,11,I,4,NO,4,,,,,,,
297,854,C,5,H,10,O,5,,,,,,,,,
298,855,C,3,H,6,O,2,,,,,,,,,
299,856,C,30,H,50,O,,,,,,,,,,
300,857,C,6,H,13,NO,2,,,,,,,,,
301,858,C,16,H,20,O,2,,,,,,,,,
302,859,C,31,H,49,N,3,O,8,S,,,,,,
303,860,C,18,H,30,O,2,,,,,,,,,
304,861,C,15,H,12,I,3,NO,4,,,,,,,
305,862,C,68,H,130,N,2,O,23,P,2,,,,,
306,863,C,8,H,15,NOS,2,,,,,,,,,
307,864,C,8,H,14,O,2,S,2,,,,,,,
308,865,C,7,H,14,N,2,O,4,,,,,,,
309,866,C,6,H,14,N,2,O,2,,,,,,,
310,867,C,3,H,4,O,4,,,,,,,,,
311,868,C,3,H,4,O,3,,,,,,,,,
312,869,C,24,H,38,N,7,O,19,P,3,S,,,,
313,870,C,24,H,42,O,21,,,,,,,,,
314,871,C,18,H,32,O,16,,,,,,,,,
315,872,C,12,H,22,O,11,,,,,,,,,
316,873,C,9,H,10,O,3,,,,,,,,,
317,874,C,5,H,6,O,4,,,,,,,,,
318,876,C,5,H,11,NO,2,S,,,,,,,,
319,877,C,25,H,40,N,7,O,17,P,3,S,,,,
320,878,CH,3,SH,,,,,,,,,,,,
321,879,C,34,H,44,N,4,O,15,,,,,,,
322,880,C,3,H,4,O,2,,,,,,,,,
323,881,CH,3,-,,,,,,,,,,,,
324,887,CH,3,OH,,,,,,,,,,,,
325,890,C,6,H,18,O,24,P,6,,,,,,,
326,891,C,7,H,8,O,6,,,,,,,,,
327,892,C,6,H,12,O,6,,,,,,,,,
328,893,C,3,H,8,O,3,S,2,,,,,,,
329,894,C,12,H,16,NO,9,P,,,,,,,,
330,895,C,12,H,24,N,2,O,3,,,,,,,
331,896,C,13,H,16,N,2,O,2,,,,,,,
332,897,C,8,H,16,N,2,O,5,,,,,,,
333,898,C,8,H,16,NO,9,P,,,,,,,,
334,899,C,8,H,15,NO,6,,,,,,,,,
335,900,C,8,H,16,NO,9,P,,,,,,,,
336,901,C,7,H,12,NO,8,P,,,,,,,,
337,902,C,6,H,12,N,2,O,3,,,,,,,
338,903,C,12,H,14,N,2,O,2,,,,,,,
339,904,C,8,H,9,NO,,,,,,,,,,
340,905,C,7,H,11,NO,4,,,,,,,,,
341,906,C,11,H,19,NO,9,,,,,,,,,
342,907,C,7,H,14,N,2,O,3,,,,,,,
343,908,C,3,H,6,N,2,O,2,,,,,,,
344,909,C,6,H,10,N,2,O,4,,,,,,,
345,910,C,11,H,12,N,2,O,4,,,,,,,
346,911,C,6,H,11,NO,3,S,,,,,,,,
347,912,C,6,H,11,N,3,,,,,,,,,
348,913,C,9,H,13,NO,,,,,,,,,,
349,914,C,12,H,14,N,2,O,2,,,,,,,
350,915,C,11,H,15,NO,8,,,,,,,,,
351,916,C,12,H,28,N,4,O,,,,,,,,
352,917,C,6,H,11,N,5,,,,,,,,,
353,918,C,9,H,13,NO,7,,,,,,,,,
354,919,C,9,H,15,NO,6,,,,,,,,,
355,920,C,9,H,16,N,2,O,5,,,,,,,
356,921,C,5,H,11,N,3,O,,,,,,,,
357,922,C,6,H,12,N,2,O,3,,,,,,,
358,925,C,21,H,27,N,7,O,14,P,2,,,,,
359,926,C,21,H,28,N,7,O,14,P,2,+,,,,
360,927,C,15,H,23,N,5,O,13,P,2,,,,,
361,928,C,21,H,29,N,7,O,14,P,2,,,,,
362,929,C,21,H,29,N,7,O,17,P,3,+,,,,
363,930,C,21,H,30,N,7,O,17,P,3,,,,,
364,931,C,10,H,8,,,,,,,,,,,
365,932,C,15,H,12,O,5,,,,,,,,,
366,936,C,6,H,6,N,2,O,,,,,,,,
367,937,C,6,H,4,NO,2,-,,,,,,,,
368,938,C,5,H,4,NCOOH,,,,,,,,,,
369,939,C,11,H,16,N,2,O,8,P+,,,,,,
370,941,C,11,H,15,NO,9,P+,,,,,,,,
371,942,C,10,H,14,N,2,,,,,,,,,
372,949,C,8,H,11,N,,,,,,,,,,
373,950,C,8,H,11,NO,,,,,,,,,,
374,951,C,8,H,11,NO,3,,,,,,,,,
375,952,C,5,H,10,O,4,,,,,,,,,
376,953,C,4,H,10,NO,6,P,,,,,,,,
377,954,C,8,H,13,NO,6,,,,,,,,,
378,955,C,11,H,10,O,5,,,,,,,,,
379,956,C,32,H,44,N,7,O,20,P,3,S,,,,
380,957,C,8,H,18,O,,,,,,,,,,
381,958,C,47,H,70,O,3,,,,,,,,,
382,959,C,48,H,72,O,3,,,,,,,,,
383,963,C,43,H,77,N,3,O,20,P,2,,,,,
384,964,C,3,H,4,O,4,,,,,,,,,
385,965,C,18,H,34,O,2,,,,,,,,,
386,966,C,39,H,68,N,7,O,17,P,3,S,,,,
387,967,C,5,H,4,N,2,O,4,,,,,,,
388,968,C,10,H,13,N,2,O,11,P,,,,,,
389,969,C,29,H,36,N,5,O,18,P,,,,,,
390,970,C,4,H,4,O,5,,,,,,,,,
391,972,C,6,H,6,O,7,,,,,,,,,
392,973,C,23,H,36,N,7,O,19,P,3,S,,,,
393,974,C,2,H,3,NO,3,,,,,,,,,
394,975,C,20,H,32,N,6,O,12,S,2,,,,,
395,976,C,5,H,6,O,3,,,,,,,,,
396,978,C,7,H,7,NO,2,,,,,,,,,
397,979,C,9,H,8,O,4,,,,,,,,,
398,980,C,6,H,5,NO,3,,,,,,,,,
399,981,C,13,H,19,N,4,O,12,P,,,,,,
400,982,C,20,H,27,N,10,O,16,P,3,,,,,
401,984,C,16,H,32,O,,,,,,,,,,
402,985,C,16,H,32,O,2,,,,,,,,,
403,986,C,37,H,66,N,7,O,17,P,3,S,,,,
404,987,C,11,H,23,N,2,O,7,PS,,,,,,
405,988,C,9,H,17,NO,5,,,,,,,,,
406,989,C,6,H,10,O,3,,,,,,,,,
407,990,C,10,H,15,N,5,O,13,P,2,S,,,,
408,991,C,10,H,14,NO,5,PS,,,,,,,,
409,992,C,6,Cl,5,OH,,,,,,,,,,
410,993,C,5,H,10,O,5,,,,,,,,,
411,994,C,9,H,11,NO,2,,,,,,,,,
412,995,C,14,H,10,,,,,,,,,,,
413,996,C,6,H,5,OH,,,,,,,,,,
414,997,C,9,H,8,O,3,,,,,,,,,
415,998,C,8,H,8,O,,,,,,,,,,
416,999,C,8,H,8,O,2,,,,,,,,,
417,1000,C,8,H,11,NO,,,,,,,,,,
418,1001,C,8,H,11,N,,,,,,,,,,
419,1002,C,9,H,8,N,2,O,2,,,,,,,
420,1005,C,3,H,5,O,6,P,,,,,,,,
421,1006,C,4,H,9,NO,7,P-,,,,,,,,
422,1007,C,4,H,10,NO,7,P,,,,,,,,
423,1008,C,15,H,24,N,5,O,14,P,2,+,,,,
424,1009,C,15,H,26,N,5,O,20,P,4,+,,,,
425,1010,C,9,H,14,N,3,O,9,P,,,,,,
426,1011,C,10,H,15,N,4,O,9,P,,,,,,
427,1012,C,15,H,25,N,5,O,15,P,2,,,,,
428,1013,C,15,H,25,N,5,O,15,P,2,,,,,
429,1014,C,5,H,15,NO,4,P+,,,,,,,,
430,1015,C,2,H,8,NO,4,P,,,,,,,,
431,1016,C,4,H,10,NO,6,P,,,,,,,,
432,1018,C,6,H,5,NO,2,,,,,,,,,
433,1019,C,6,H,6,NO,7,P,,,,,,,,
434,1020,C,9,H,18,O,7,P,2,,,,,,,
435,1021,C,10,H,14,N,2,O,4,,,,,,,
436,1022,C,20,H,16,N,4,,,,,,,,,
437,1024,C,14,H,6,N,2,O,8,,,,,,,
438,1025,C,10,H,15,N,5,O,7,P-,,,,,,
439,1026,C,10,H,16,N,5,O,7,P,,,,,,
440,1027,C,21,H,32,O,2,,,,,,,,,
441,1028,C,10,H,10,O,6,,,,,,,,,
442,1029,C,6,H,14,N,2,O,3,,,,,,,
443,1030,C,3,H,8,O,2,,,,,,,,,
444,1031,C,3,H,8,O,,,,,,,,,,
445,1032,CH,3,CH,2,COOH,,,,,,,,,,
446,1033,C,24,H,40,N,7,O,17,P,3,S,,,,
447,1034,C,3,H,7,O,5,P,,,,,,,,
448,1035,C,20,H,32,O,5,,,,,,,,,
449,1037,C,34,H,46,N,4,O,4,,,,,,,
450,1039,C,34,H,52,N,4,O,4,,,,,,,
451,1040,C,34,H,36,N,4,O,4,,,,,,,
452,1041,C,5,H,13,O,14,P,3,,,,,,,
453,1042,C,9,H,13,N,2,O,9,P,,,,,,
454,1043,C,6,H,4,N,4,,,,,,,,,
455,1044,C,5,H,4,N,4,,,,,,,,,
456,1045,C,4,H,12,N,2,,,,,,,,,
457,1046,C,5,H,5,N,3,O,,,,,,,,
458,1047,C,5,H,4,N,2,O,2,,,,,,,
459,1048,C,3,H,4,N,2,,,,,,,,,
460,1049,C,5,H,5,N,,,,,,,,,,
461,1050,C,8,H,9,NO,3,,,,,,,,,
462,1051,C,8,H,10,NO,6,P,,,,,,,,
463,1052,C,8,H,12,N,2,O,2,,,,,,,
464,1053,C,8,H,13,N,2,O,5,P,,,,,,
465,1054,C,8,H,11,NO,3,,,,,,,,,
466,1055,C,8,H,12,NO,6,P,,,,,,,,
467,1056,C,4,H,6,N,2,,,,,,,,,
468,1057,C,6,H,3,(OH),3,,,,,,,,,
469,1059,C,5,H,7,NO,3,,,,,,,,,
470,1060,C,3,H,4,O,3,,,,,,,,,
471,1062,C,19,H,28,O,4,,,,,,,,,
472,1063,C,12,H,13,N,5,O,3,,,,,,,
473,1064,C,7,H,12,O,6,,,,,,,,,
474,1065,C,20,H,24,O,2,N,2,,,,,,,
475,1066,C,7,H,5,NO,4,,,,,,,,,
476,1067,C,29,H,44,N,5,O,18,P,,,,,,
477,1068,CH,3,SCH,3,,,,,,,,,,,
478,1069,C,51,H,76,O,2,,,,,,,,,
479,1070,C,20,H,28,O,,,,,,,,,,
480,1071,C,20,H,30,O,,,,,,,,,,
481,1072,C,17,H,20,N,4,O,6,,,,,,,
482,1073,C,5,H,12,O,11,P,2,,,,,,,
483,1074,C,5,H,11,O,8,P,,,,,,,,
484,1076,C,10,H,19,NO,2,S,2,,,,,,,
485,1077,C,15,H,20,N,5,O,6,S+,,,,,,
486,1078,C,14,H,23,N,6,O,3,S+,,,,,,
487,1079,C,15,H,23,N,6,O,5,S+,,,,,,
488,1080,C,5,H,9,NO,4,S,,,,,,,,
489,1081,C,5,H,8,O,5,,,,,,,,,
490,1082,C,11,H,19,N,3,O,7,S,,,,,,
491,1083,C,13,H,21,N,3,O,8,S,,,,,,
492,1087,C,11,H,20,N,2,O,6,,,,,,,
493,1088,C,3,H,7,NO,2,,,,,,,,,
494,1093,C,13,H,19,N,6,O,9,P,,,,,,
495,1094,C,7,H,10,O,5,,,,,,,,,
496,1095,C,7,H,11,O,8,P,,,,,,,,
497,1096,C,42,H,49,FeN,4,O,16,,,,,,,
498,1097,C,42,H,52,N,4,O,16,,,,,,,
499,1098,C,42,H,48,N,4,O,16,,,,,,,
500,1101,C,6,H,12,O,6,,,,,,,,,
501,1102,C,7,H,19,N,3,,,,,,,,,
502,1103,C,10,H,26,N,4,,,,,,,,,
503,1104,C,18,H,37,NO,2,,,,,,,,,
504,1105,C,30,H,50,,,,,,,,,,,
505,1106,C,39,H,70,N,7,O,17,P,3,S,,,,
506,1107,C,17,H,28,O,,,,,,,,,,
507,1108,C,17,H,28,,,,,,,,,,,
508,1110,C,4,H,6,O,4,,,,,,,,,
509,1111,C,25,H,40,N,7,O,19,P,3,S,,,,
510,1112,C,4,H,6,O,3,,,,,,,,,
511,1113,C,16,H,25,N,4,O,10,P,2,S+,,,,
512,1114,C,11,H,12,O,6,,,,,,,,,
513,1115,C,12,H,22,O,11,,,,,,,,,
514,1116,C,12,H,23,O,14,P,,,,,,,,
515,1120,C,50,H,84,O,7,P,2,,,,,,,
516,1121,C,55,H,92,O,7,P,2,,,,,,,
517,1122,C,3,H,4,O,4,,,,,,,,,
518,1123,C,2,H,7,NO,3,S,,,,,,,,
519,1124,C,10,H,16,N,2,O,11,P,2,,,,,
